Date,Atlantic City,Baltimore,Eastport,Fort Pulaski,Lewes,New London,Newport,Portland,Sandy Hook,Sewells Point,The Battery,Washington
01-01-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-02-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-03-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-04-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-05-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-06-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-07-1993,1,1,1,1,1,1,1,1,1,1,1,1
01-08-1993,1,1,1,1,1,1,1,1,1,1,1,1
01-09-1993,1,1,1,1,1,1,1,1,1,1,1,1
01-10-1993,1,1,1,1,1,1,1,1,1,1,1,1
01-11-1993,1,1,1,1,1,1,1,1,1,1,1,1
01-12-1993,1,1,1,1,1,1,1,1,1,1,1,1
01-13-1993,1,1,1,1,1,1,1,1,1,1,1,1
01-14-1993,1,1,1,1,1,1,1,1,1,1,1,1
01-15-1993,1,1,1,1,1,1,1,1,1,1,1,1
01-16-1993,1,1,1,1,1,1,1,1,1,1,1,1
01-17-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-18-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-19-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-20-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-21-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-22-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-23-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-24-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-25-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-26-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-27-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-28-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-29-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-30-1993,0,0,0,0,0,0,0,0,0,0,0,0
01-31-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-01-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-02-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-03-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-04-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-05-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-06-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-07-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-08-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-09-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-10-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-11-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-12-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-13-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-14-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-15-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-16-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-17-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-18-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-19-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-20-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-21-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-22-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-23-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-24-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-25-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-26-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-27-1993,0,0,0,0,0,0,0,0,0,0,0,0
02-28-1993,0,0,0,0,0,0,0,0,0,0,0,0
03-01-1993,0,0,0,0,0,0,0,0,0,0,0,0
03-02-1993,0,0,0,0,0,0,0,0,0,0,0,0
03-03-1993,0,0,0,0,0,0,0,0,0,0,0,0
03-04-1993,0,0,0,0,0,0,0,0,0,0,0,0
03-05-1993,0,0,0,0,0,0,0,0,0,0,0,0
